experiment,model,seed,avg_acc,bwt,dataset,pretrained,epochs_per_task,lam,alpha
tinyimagenet_pretrained,hgn_lwf,456,13.23,-34.4947,split_tinyimagenet,True,10,0.7,1.2
tinyimagenet_pretrained,hgn,123,13.13,-36.1368,split_tinyimagenet,True,10,0.7,1.2
tinyimagenet_pretrained,hgn,42,12.3,-33.6842,split_tinyimagenet,True,10,0.7,1.2
tinyimagenet_pretrained,hgn,456,11.95,-28.9368,split_tinyimagenet,True,10,0.7,1.2
tinyimagenet_pretrained,hgn_si,123,9.84,-0.4947,split_tinyimagenet,True,10,0.7,1.2
tinyimagenet_pretrained,hgn_si,42,10.21,-0.2105,split_tinyimagenet,True,10,0.7,1.2
tinyimagenet_pretrained,hgn_si,456,9.97,-0.3368,split_tinyimagenet,True,10,0.7,1.2
tinyimagenet_pretrained,lwf,123,12.09,-34.6737,split_tinyimagenet,True,10,0.7,1.2
tinyimagenet_pretrained,lwf,42,12.85,-30.6632,split_tinyimagenet,True,10,0.7,1.2
tinyimagenet_pretrained,lwf,456,11.05,-36.5684,split_tinyimagenet,True,10,0.7,1.2
tinyimagenet_pretrained,si,123,9.96,-3.6737,split_tinyimagenet,True,10,0.7,1.2
tinyimagenet_pretrained,si,42,10.01,-3.2632,split_tinyimagenet,True,10,0.7,1.2
tinyimagenet_pretrained,si,456,10.09,-3.0421,split_tinyimagenet,True,10,0.7,1.2
cifar100_derpp,derpp,123,64.2,-25.9368,split_cifar100,True,10,0.7,1.2
cifar100_derpp,derpp,42,65.51,-24.6105,split_cifar100,True,10,0.7,1.2
cifar100_derpp,derpp,456,65.9,-23.9895,split_cifar100,True,10,0.7,1.2
cifar100_derpp,hgn_derpp,123,45.63,-4.9263,split_cifar100,True,10,0.7,1.2
cifar100_derpp,hgn_derpp,42,48.75,-6.3895,split_cifar100,True,10,0.7,1.2
cifar100_derpp,hgn_derpp,456,43.19,-5.9263,split_cifar100,True,10,0.7,1.2
alpha_ablation,hgn,123,22.77,-26.8105,split_cifar100,False,10,0.7,0.0
alpha_ablation,hgn,42,21.72,-28.9368,split_cifar100,False,10,0.7,0.0
alpha_ablation,hgn,456,21.17,-29.2632,split_cifar100,False,10,0.7,0.0
alpha_ablation,hgn,123,21.08,-25.6,split_cifar100,False,10,0.7,0.5
alpha_ablation,hgn,42,20.71,-24.2842,split_cifar100,False,10,0.7,0.5
alpha_ablation,hgn,456,19.68,-27.1895,split_cifar100,False,10,0.7,0.5
alpha_ablation,hgn,123,21.12,-10.0316,split_cifar100,False,10,0.7,1.0
alpha_ablation,hgn,42,19.64,-20.4105,split_cifar100,False,10,0.7,1.0
alpha_ablation,hgn,456,20.83,-22.5579,split_cifar100,False,10,0.7,1.0
alpha_ablation,hgn,123,21.37,-17.2842,split_cifar100,False,10,0.7,1.2
alpha_ablation,hgn,42,20.41,-13.3579,split_cifar100,False,10,0.7,1.2
alpha_ablation,hgn,456,18.41,-20.5895,split_cifar100,False,10,0.7,1.2
alpha_ablation,hgn,123,20.36,-15.5684,split_cifar100,False,10,0.7,1.5
alpha_ablation,hgn,42,19.0,-17.1263,split_cifar100,False,10,0.7,1.5
alpha_ablation,hgn,456,20.12,-12.8632,split_cifar100,False,10,0.7,1.5
alpha_ablation,hgn,123,19.75,-12.8526,split_cifar100,False,10,0.7,2.0
alpha_ablation,hgn,42,18.48,-18.7895,split_cifar100,False,10,0.7,2.0
alpha_ablation,hgn,456,19.79,-14.4737,split_cifar100,False,10,0.7,2.0
alpha_ablation,hgn,123,21.74,-10.5263,split_cifar100,False,10,0.7,3.0
alpha_ablation,hgn,42,20.65,-12.5474,split_cifar100,False,10,0.7,3.0
alpha_ablation,hgn,456,20.36,-13.2632,split_cifar100,False,10,0.7,3.0
lambda_ablation,hgn,123,20.25,-7.9579,split_cifar100,False,10,0.1,1.2
lambda_ablation,hgn,42,21.14,-13.7053,split_cifar100,False,10,0.1,1.2
lambda_ablation,hgn,456,20.74,-15.8211,split_cifar100,False,10,0.1,1.2
lambda_ablation,hgn,123,21.3,-17.2,split_cifar100,False,10,0.3,1.2
lambda_ablation,hgn,42,20.74,-10.6737,split_cifar100,False,10,0.3,1.2
lambda_ablation,hgn,456,22.15,-12.3263,split_cifar100,False,10,0.3,1.2
lambda_ablation,hgn,123,18.24,-18.4316,split_cifar100,False,10,0.5,1.2
lambda_ablation,hgn,42,20.7,-14.1368,split_cifar100,False,10,0.5,1.2
lambda_ablation,hgn,456,19.72,-15.4526,split_cifar100,False,10,0.5,1.2
lambda_ablation,hgn,123,20.5,-8.2316,split_cifar100,False,10,0.7,1.2
lambda_ablation,hgn,42,20.65,-15.7368,split_cifar100,False,10,0.7,1.2
lambda_ablation,hgn,456,21.13,-14.4421,split_cifar100,False,10,0.7,1.2
lambda_ablation,hgn,123,20.48,-20.6211,split_cifar100,False,10,0.95,1.2
lambda_ablation,hgn,42,21.74,-18.5895,split_cifar100,False,10,0.95,1.2
lambda_ablation,hgn,456,18.38,-22.9895,split_cifar100,False,10,0.95,1.2
lambda_ablation,hgn,123,22.88,-23.6105,split_cifar100,False,10,0.99,1.2
lambda_ablation,hgn,42,21.81,-26.8526,split_cifar100,False,10,0.99,1.2
lambda_ablation,hgn,456,21.48,-24.2947,split_cifar100,False,10,0.99,1.2
lambda_ablation,hgn,123,20.73,-23.3053,split_cifar100,False,10,0.9,1.2
lambda_ablation,hgn,42,21.77,-15.0,split_cifar100,False,10,0.9,1.2
lambda_ablation,hgn,456,21.38,-20.9579,split_cifar100,False,10,0.9,1.2
